2026-08-18 09:00:12 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 38%
2026-08-18 09:03:27 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 42%
2026-08-18 09:06:41 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 51%
2026-08-18 09:09:18 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 63%
2026-08-18 09:12:35 | i-0a12bc34de56f7890 | WARNING | CPUUtilization reached 78%
2026-08-18 09:15:23 | i-0a12bc34de56f7890 | WARNING | CPUUtilization reached 84%
2026-08-18 09:18:47 | i-0a12bc34de56f7890 | ERROR | CPUUtilization exceeded 90% threshold
2026-08-18 09:20:16 | i-0a12bc34de56f7890 | ERROR | High CPU usage detected for 5 consecutive minutes
2026-08-18 09:23:39 | i-0a12bc34de56f7890 | ERROR | Application process using high CPU resources
2026-08-18 09:26:52 | i-0a12bc34de56f7890 | WARNING | CPUUtilization decreased to 86%
2026-08-18 09:29:14 | i-0a12bc34de56f7890 | WARNING | CPUUtilization decreased to 79%
2026-08-18 09:32:48 | i-0a12bc34de56f7890 | INFO | CPUUtilization returned below warning threshold
2026-08-18 09:35:21 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 65%
2026-08-18 09:38:43 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 57%
2026-08-18 09:41:09 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 49%
2026-08-18 09:44:31 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 44%
2026-08-18 09:47:55 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 41%
2026-08-18 09:50:22 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 39%
2026-08-18 09:53:46 | i-0a12bc34de56f7890 | INFO | CPUUtilization: 37%
2026-08-18 09:56:18 | i-0a12bc34de56f7890 | INFO | CPUUtilization stable at 36%
